backbone,category,seed,runtime_seconds,auroc,auprc,logistic_ece15,logistic_brier,logistic_aurc,isotonic_ece15,isotonic_brier,isotonic_aurc
resnet50,pcb1,13,38.76308394700004,0.7608,0.7668753890623967,0.3299306103568798,0.3399557035173737,0.2946460913945248,0.34064963936805726,0.34187459887100885,0.27308020905750474
resnet50,pcb1,42,39.28868173799992,0.7914,0.8092118731357166,0.33991999621967334,0.3399423150739975,0.2684937943553489,0.3266795444488525,0.32820046694128846,0.2561550515622661
resnet50,pcb1,123,42.050101795000046,0.7748999999999999,0.7849370741183175,0.3199245325583204,0.33994893042253826,0.2830296213086651,0.32593029081821434,0.33324283661339776,0.24903778645329017
dinov2_vits14,pcb1,13,39.222314765999954,0.7367999999999999,0.7742277705518043,0.3399561915334913,0.339969422437897,0.29409212704387777,0.32753357797861093,0.3360367342441327,0.25983577612594366
dinov2_vits14,pcb1,42,39.94497690000003,0.7434999999999998,0.7870386209964888,0.33995596446549814,0.33996915340193157,0.2862313210401944,0.33206908762454984,0.3352803234491762,0.25737322105113836
dinov2_vits14,pcb1,123,39.88731098899984,0.7173999999999999,0.7697391531790003,0.33995608543254463,0.33996969386472453,0.29912588510029225,0.3301384946703911,0.3374662083459761,0.28262225437730737
