method,auroc,auprc,ece15,brier
resnet50 raw score,0.7608,0.7668753890623967,,
resnet50 + logistic,0.7608,0.7668753890623967,0.3299306103568798,0.3399557035173737
resnet50 + isotonic,0.7608,0.7668753890623967,0.34064963936805726,0.34187459887100885
dinov2_vits14 raw score,0.7367999999999999,0.7742277705518043,,
dinov2_vits14 + logistic,0.7367999999999999,0.7742277705518043,0.3399561915334913,0.339969422437897
dinov2_vits14 + isotonic,0.7367999999999999,0.7742277705518043,0.32753357797861093,0.3360367342441327
